Name,Category,ticker
ASIABRN [s],Personal Goods,7722.KL
MULPHA,"Travel, Leisure & Hospitality",3905.KL
MINHO [s],Wood & Wood Products,5576.KL
SINKUNG [s],Transportation & Logistics Services,305.KL
TWL [s],Property,7079.KL
WAJA [s],"Industrial Materials, Components & Equipment",102.KL
HUAYANG [s],Property,5062.KL
AWANTEC [s],Digital Services,5204.KL
HARNLEN [s],Plantation,7501.KL
SCIB [s],Building Materials,9237.KL
SASBADI [s],Media,5252.KL
MSNIAGA [s],Digital Services,5011.KL
TWRREIT,Real Estate Investment Trusts,5111.KL
DRBHCOM [s],Automotive,1619.KL
KRONO [s],Digital Services,176.KL
WTHORSE [s],Building Materials,5009.KL
JAKS [s],Construction,4723.KL
UEMS [s],Property,5148.KL
VARIA [s],Construction,5006.KL
MPHBCAP,Property,5237.KL
AJIYA [s],Building Materials,7609.KL
PGB [s],"Energy, Infrastructure, Equipment & Services",91.KL
TTVHB [s],Semiconductors,272.KL
MATANG,Plantation,189.KL
NADIBHD [s],Construction,206.KL
MKLAND [s],Property,8893.KL
GBGAQRS [s],Construction,5226.KL
TASHIN [s],Metals,211.KL
MUHIBAH [s],Construction,5703.KL
LUSTER [s],"Industrial Materials, Components & Equipment",5068.KL
L&G [s],Property,3174.KL
DNEX [s],Digital Services,4456.KL
TMK [s],Chemicals,5330.KL
MINOX [s],"Industrial Materials, Components & Equipment",288.KL
CJCEN,Transportation & Logistics Services,7117.KL
AMLEX [s],Semiconductors,3011.KL
SYCAL,Construction,9717.KL
KNUSFOR [s],Industrial Services,5035.KL
SKYGATE,Property,7249.KL
CYL [s],Packaging Materials,7157.KL
GADANG [s],Construction,9261.KL
ICAP,Closed End Fund,5108.KL
EMETALL [s],Metals,7217.KL
ABLEGRP [s],Building Materials,7086.KL
MELEWAR [s],Metals,3778.KL
PUNCAK [s],Construction,6807.KL
PEB [s],Construction,5622.KL
ARREIT,Real Estate Investment Trusts,5127.KL
ESCERAM [s],"Industrial Materials, Components & Equipment",100.KL
SBCCORP [s],Property,5207.KL
SEACERA [s],Building Materials,7073.KL
CHINWEL [s],"Industrial Materials, Components & Equipment",5007.KL
ICON [s],"Energy, Infrastructure, Equipment & Services",5255.KL
SUBUR,Wood & Wood Products,6904.KL
SDCG [s],Industrial Services,321.KL
MITRA [s],Construction,9571.KL
MSM [s],Food & Beverages,5202.KL
PRIVA [s],Telecommunications Equipment,123.KL
LOTUS [s],Food & Beverages,8303.KL
IWCITY [s],Property,1589.KL
TOPGLOV [s],Health Care Equipment & Services,7113.KL
AUTORIS,Other Financials,3059.KL
DIN045801028 [s],Islamic GG,0400GB.KL
KOPI,",",338.KL
ALLIANZ-PA,Insurance,1163PA.KL
CBHB,",",339.KL
HPI [s],Building Materials,3060.KL
EQ8WAQF [s],Equity Fund,0839EA.KL
NORTHERN,",",340.KL
OMH [s],Metals,5298.KL
TPTEC,Industrial Services,3061.KL
FBMKLCI-EA,Equity Fund,0820EA.KL
SCOMIES [s],"Energy, Infrastructure, Equipment & Services",7045.KL
GPP [s],Industrial Services,3029.KL
IREKA [s],Construction,8834.KL
JAGAAPP,Digital Services,3002.KL
CARZO [s],Food & Beverages,3048.KL
SAPNRG [s],"Energy, Infrastructure, Equipment & Services",5218.KL
SCABLE [s],"Industrial Materials, Components & Equipment",5170.KL
ALAM [s],"Energy, Infrastructure, Equipment & Services",5115.KL
CAPITALA [s],"Travel, Leisure & Hospitality",5099.KL
PHARMA [s],Pharmaceuticals,7081.KL
KHEESAN,Food & Beverages,6203.KL
ABFMY1,Bond Fund,0800EA.KL
PASDEC [s],Property,6912.KL
ASDION [s],Software,68.KL
KGW [s],Transportation & Logistics Services,282.KL
FIHB [s],Houshold Goods,8605.KL
OVERSEA,"Travel, Leisure & Hospitality",153.KL
LEBTECH [s],Construction,9628.KL
DUTALND,Plantation,3948.KL
DFCITY [s],Building Materials,5165.KL
KTI [s],Property,308.KL
NTPM [s],Houshold Goods,5066.KL
HWATAI [s],Food & Beverages,8478.KL
EMICO [s],Consumer Services,9091.KL
GOPENG,Plantation,2135.KL
PTARAS [s],Construction,9598.KL
OASIS,"Industrial Materials, Components & Equipment",5265.KL
ALCOM [s],Metals,2674.KL
Y&G [s],Property,7003.KL
WCT [s],Construction,9679.KL
BJASSET,Property,3239.KL
CLASSITA,Personal Goods,7154.KL
HEXRTL [s],Houshold Goods,7202.KL
PAOS [s],Houshold Goods,5022.KL
INCKEN [s],Plantation,2607.KL
UPA [s],Consumer Services,7757.KL
ROHAS [s],Industrial Engineering,9741.KL
MMSV [s],Technology Equipment,113.KL
HEXCAP [s],Telecommunications Equipment,35.KL
BERTAM [s],Property,9814.KL
SEAL [s],Property,4286.KL
SYMLIFE [s],Property,1538.KL
FOCUS,"Travel, Leisure & Hospitality",116.KL
LANDMRK,"Travel, Leisure & Hospitality",1643.KL
RL [s],"Energy, Infrastructure, Equipment & Services",219.KL
VTC [s],Digital Services,319.KL
AYS [s],Building Materials,5021.KL
AXTERIA [s],Property,7120.KL
AGRICOR [s],Food & Beverages,309.KL
HEVEA [s],Wood & Wood Products,5095.KL
KESM [s],Semiconductors,9334.KL
TEXCHEM [s],Diversified Industrials,8702.KL
NHB [s],Transportation & Logistics Services,5614.KL
MUDA [s],Packaging Materials,3883.KL
TONGHER [s],Metals,5010.KL
CWG [s],Consumer Services,9423.KL
ECM,Other Financials,2143.KL
TIMWELL [s],Wood & Wood Products,7854.KL
CHOOBEE [s],Metals,5797.KL
ENCORP [s],Property,6076.KL
CHUAN [s],Building Materials,7016.KL
GLBHD [s],Plantation,7382.KL
CANONE,Packaging Materials,5105.KL
HWGB [s],"Industrial Materials, Components & Equipment",9601.KL
MUIPROP [s],Property,3913.KL
BPURI [s],Construction,5932.KL
MBN,Consumer Services,280.KL
YEWLEE [s],"Industrial Materials, Components & Equipment",248.KL
ADVENTA [s],Health Care Equipment & Services,7191.KL
PHB,Property,4464.KL
SG [s],Food & Beverages,5157.KL
CNOUHUA,Food & Beverages,5188.KL
WTK [s],Wood & Wood Products,4243.KL
EVERGRN [s],Wood & Wood Products,5101.KL
SCB [s],Food & Beverages,316.KL
EWINT,Property,5283.KL
SOLUTN [s],Digital Services,93.KL
XDL,Personal Goods,5156.KL
PARKSON [s],Retailers,5657.KL
GBAY [s],Packaging Materials,9148.KL
AVI [s],"Travel, Leisure & Hospitality",8885.KL
PJBUMI [s],Industrial Services,7163.KL
WOODLAN [s],Wood & Wood Products,7025.KL
CNH [s],Consumer Services,5104.KL
REKATECH [s],Industrial Services,81.KL
SALCON [s],"Gas, Water & Multi-Utilities",8567.KL
SEEHUP [s],Transportation & Logistics Services,7053.KL
BJLAND,"Travel, Leisure & Hospitality",4219.KL
WATTA [s],Auto Parts,7226.KL
THETA [s],Digital Services,9075.KL
MALAKOF [s],Electricity,5264.KL
LIENHOE,Property,3573.KL
FITTERS [s],"Industrial Materials, Components & Equipment",9318.KL
GUH [s],"Industrial Materials, Components & Equipment",3247.KL
SMI [s],Property,4375.KL
G3 [s],Personal Goods,7184.KL
OCR [s],Construction,7071.KL
COMPUGT [s],Industrial Services,5037.KL
EKSONS,Wood & Wood Products,9016.KL
TOYOVEN [s],Chemicals,7173.KL
MUDAJYA [s],Construction,5085.KL
CFM,Industrial Services,8044.KL
CORAZA [s],Industrial Engineering,240.KL
GDEX [s],Transportation & Logistics Services,78.KL
CHINAETF-USD,Equity Fund,0829EB.KL
PARKWD [s],Property,2682.KL
TRIVE [s],Technology Equipment,118.KL
ANNJOO [s],Metals,6556.KL
WIDAD [s],Construction,162.KL
MILUX,Houshold Goods,7935.KL
XIN,Building Materials,7043.KL
CME [s],Industrial Services,7018.KL
TUNEPRO,Insurance,5230.KL
OLYMPIA,"Travel, Leisure & Hospitality",3018.KL
COMFORT [s],"Industrial Materials, Components & Equipment",2127.KL
IQGROUP,Houshold Goods,5107.KL
KSSC [s],"Industrial Materials, Components & Equipment",5192.KL
COASTAL,"Energy, Infrastructure, Equipment & Services",5071.KL
AASIA [s],Plantation,7054.KL
GREENYB [s],Agricultural Products,136.KL
BENALEC [s],Construction,5190.KL
YNHPROP [s],Property,3158.KL
MAA,Insurance,1198.KL
SGBHD [s],Industrial Services,3033.KL
PINEPAC,Plantation,1902.KL
KAMDAR [s],Retailers,8672.KL
PLS,Plantation,9695.KL
WARISAN,"Travel, Leisure & Hospitality",5016.KL
KHJB [s],Retailers,210.KL
PERTAMA [s],Personal Goods,8532.KL
SUPERMX,Health Care Equipment & Services,7106.KL
ALRICH [s],Software,79.KL
MERIDIAN [s],Property,5040.KL
RENEUCO [s],Personal Goods,7130.KL
MENTIGA [s],Plantation,5223.KL
SERNKOU [s],Houshold Goods,7180.KL
ECONBHD [s],Construction,5253.KL
DNONCE [s],Packaging Materials,7114.KL
SWSCAP [s],Houshold Goods,7186.KL
CEPCO [s],Building Materials,8435.KL
EKOVEST [s],Construction,8877.KL
CHEETAH [s],Personal Goods,7209.KL
NIHSIN [s],Houshold Goods,7215.KL
MIECO [s],Wood & Wood Products,5001.KL
SAPRES [s],Property,4596.KL
MMM [s],Media,159.KL
CRESBLD [s],Construction,8591.KL
EIG [s],Personal Goods,5081.KL
BSLCORP [s],Metals,7221.KL
XINHWA [s],Transportation & Logistics Services,5267.KL
VSOLAR [s],Software,66.KL
FARLIM [s],Property,6041.KL
PERMAJU [s],Automotive,7080.KL
ENGKAH [s],Houshold Goods,7149.KL
AXJ-REITSETF,Equity Fund,0837EA.KL
KANGER [s],Houshold Goods,170.KL
NEXGRAM [s],Telecommunications Equipment,96.KL
TCHONG [s],Automotive,4405.KL
FLBHD [s],Wood & Wood Products,5197.KL
SSTEEL,Metals,5665.KL
XOX [s],Telecommunications Service Providers,165.KL
FINTEC,Other Financials,150.KL
MEDIAC [s],Media,5090.KL
CAREPLS [s],Health Care Equipment & Services,163.KL
TAGHILL [s],Construction,241.KL
MNC,Telecommunications Equipment,103.KL
BTM,Wood & Wood Products,7188.KL
JHM [s],Semiconductors,127.KL
CYPARK [s],Industrial Services,5184.KL
MLAB,Technology Equipment,85.KL
LCTITAN [s],Chemicals,5284.KL
HEXCARE [s],Health Care Equipment & Services,7803.KL
TECHBASE [s],Personal Goods,8966.KL
JOHAN,Other Financials,3441.KL
MQTECH [s],Semiconductors,70.KL
ESAFE [s],Auto Parts,190.KL
TJSETIA [s],Construction,5297.KL
PICORP [s],Industrial Services,7201.KL
PENSONI [s],Houshold Goods,9997.KL
AFUJIYA [s],Auto Parts,5198.KL
NP,Digital Services,3045.KL
ARKA [s],Transportation & Logistics Services,7218.KL
GKENT,Construction,3204.KL
SYSTECH [s],Software,50.KL
PERSTIM [s],Metals,5436.KL
GOINNO [s],Metals,3028.KL
EQ8SID [s],Equity Fund,0825EA.KL
AIZO [s],Building Materials,7219.KL
MPIRE [s],Houshold Goods,7943.KL
KIMHIN [s],Building Materials,5371.KL
ASTEEL [s],Metals,7020.KL
MAGMA [s],Food & Beverages,7243.KL
PRG [s],Personal Goods,7168.KL
JSB [s],Industrial Services,5673.KL
MPAY [s],Software,156.KL
LKL [s],Health Care Equipment & Services,182.KL
JOE,Auto Parts,7096.KL
SCNWOLF [s],Building Materials,7239.KL
WCEHB,Construction,3565.KL
REVENUE [s],Digital Services,200.KL
TAWIN [s],Metals,7097.KL
RALCO [s],Chemicals,7498.KL
MJPERAK [s],Property,8141.KL
ARBB [s],Software,7181.KL
N2N [s],Software,108.KL
KGROUP [s],Technology Equipment,36.KL
PLB [s],Property,7055.KL
ASIAPLY [s],Chemicals,105.KL
BINACOM [s],Telecommunications Service Providers,195.KL
SEDANIA [s],Consumer Services,178.KL
VIS,Semiconductors,120.KL
TROP [s],Property,5401.KL
GCE,"Travel, Leisure & Hospitality",5592.KL
PASUKGB [s],Industrial Engineering,177.KL
NICE [s],Personal Goods,7139.KL
TALAMT [s],Property,2259.KL
GOCEAN,Food & Beverages,74.KL
IHB [s],Construction,7240.KL
EAH,Digital Services,154.KL
AURO,Wood & Wood Products,5025.KL
CHHB [s],Property,5738.KL
QUALITY,Building Materials,7544.KL
VINVEST [s],Software,69.KL
SMILE [s],Health Care Providers,3023.KL
ECA [s],Technology Equipment,267.KL
MUIIND,"Travel, Leisure & Hospitality",3891.KL
NYLEX,Chemicals,4944.KL
PARLO [s],"Travel, Leisure & Hospitality",22.KL
YB [s],Building Materials,5048.KL
NOVAMSC [s],Software,26.KL
ASB [s],"Travel, Leisure & Hospitality",1481.KL
ANNUM [s],Wood & Wood Products,5082.KL
GCAP [s],Transportation & Logistics Services,7676.KL
TCS [s],Construction,221.KL
WONG [s],"Industrial Materials, Components & Equipment",7050.KL
KLCI2XL,",",0834EA.KL
ZENTECH [s],Software,94.KL
YBS [s],"Industrial Materials, Components & Equipment",25.KL
ANCOMLB [s],Transportation & Logistics Services,48.KL
ITRONIC [s],Technology Equipment,9393.KL
AEMULUS [s],Technology Equipment,181.KL
IVORY [s],Property,5175.KL
PINEAPP,Digital Services,6.KL
EQ8MID [s],Equity Fund,0824EA.KL
INNITY,Media,147.KL
BORNOIL [s],Industrial Services,7036.KL
MTRONIC [s],Industrial Services,43.KL
BOXPAK,Packaging Materials,6297.KL
HEXTECH [s],Transportation & Logistics Services,5136.KL
XOXNET,Consumer Services,140.KL
HONGSENG,Software,41.KL
MTOUCHE,Telecommunications Service Providers,92.KL
MAXLAND [s],Wood & Wood Products,7123.KL
SMCAP [s],Agricultural Products,9776.KL
FAST [s],"Industrial Materials, Components & Equipment",84.KL
SCOPE [s],"Industrial Materials, Components & Equipment",28.KL
EURO [s],Consumer Services,7208.KL
PNEPCB [s],"Industrial Materials, Components & Equipment",6637.KL
MERCURY [s],Construction,8192.KL
THRIVEN [s],Property,7889.KL
P&O,Insurance,6009.KL
HBGLOB,Food & Beverages,5187.KL
1TECH,Software,3041.KL
UNIWALL [s],Construction,3017.KL
SCBUILD [s],Construction,109.KL
AIM,Industrial Services,122.KL
SMTRACK,Technology Equipment,169.KL
TOMYPAK,Packaging Materials,7285.KL
AHB [s],Consumer Services,7315.KL
BIOHLDG [s],Food & Beverages,179.KL
CHINAETF-MYR,Equity Fund,0829EA.KL
ONEGLOVE [s],"Travel, Leisure & Hospitality",5079.KL
ATAIMS [s],"Industrial Materials, Components & Equipment",8176.KL
EDUSPEC [s],Software,107.KL
CNASIA,"Industrial Materials, Components & Equipment",7986.KL
MAGNA [s],Property,7617.KL
OVH [s],"Energy, Infrastructure, Equipment & Services",220.KL
ADVCON,Construction,5281.KL
TECHNAX [s],Other Energy Resources,2739.KL
MMAG [s],Digital Services,34.KL
EQ8MY25 [s],Equity Fund,0821EA.KL
BCMALL [s],Industrial Services,187.KL
NETX,Software,20.KL
DCHCARE,Health Care Providers,283.KL
BJFOOD [s],"Travel, Leisure & Hospitality",5196.KL
AEM,"Industrial Materials, Components & Equipment",7146.KL
TDEX [s],Software,132.KL
SAFETY,"Industrial Materials, Components & Equipment",3056.KL
GPACKET [s],Telecommunications Service Providers,82.KL
CHINA100-MYR [s],Equity Fund,0838EA.KL
HOHUP [s],Construction,5169.KL
KEYASIC [s],Semiconductors,143.KL
JADI [s],Consumer Services,7223.KL
BVLH [s],Construction,3042.KL
GIIB [s],Auto Parts,7192.KL
JIANKUN [s],Property,8923.KL
LIONIND [s],Metals,4235.KL
CGB [s],Packaging Materials,8052.KL
KOMARK [s],Packaging Materials,7017.KL
EXSIMHB [s],"Travel, Leisure & Hospitality",1287.KL
HLT [s],"Industrial Materials, Components & Equipment",188.KL
ENRA [s],Property,8613.KL
TFP,Digital Services,145.KL
PAM-C50,Equity Fund,0823EA.KL
ERDASAN [s],"Industrial Materials, Components & Equipment",72.KL
SEERS [s],Houshold Goods,3009.KL
MGRC [s],Health Care Equipment & Services,155.KL
PUC [s],Media,7.KL
POS [s],Transportation & Logistics Services,4634.KL
HENGYUAN [s],Oil & Gas Producers,4324.KL
PMCORP [s],"Travel, Leisure & Hospitality",4081.KL
EIB [s],Industrial Engineering,255.KL
ICONIC [s],"Travel, Leisure & Hospitality",9113.KL
PESTECH [s],Industrial Engineering,5219.KL
SANICHI,"Industrial Materials, Components & Equipment",133.KL
ARTRONIQ [s],Chemicals,38.KL
DATAPRP [s],Digital Services,8338.KL
LYC [s],Health Care Providers,75.KL
SALUTE [s],Personal Goods,183.KL
KNM,Other Energy Resources,7164.KL
AORB [s],Agricultural Products,3051.KL
EVD [s],Software,174.KL
RSENA,Special Purpose Acquisition Company,5270.KL
DESTINI [s],Industrial Engineering,7212.KL
MICROLN [s],Digital Services,126.KL
APB,Industrial Engineering,5568.KL
SINARAN [s],Personal Goods,5172.KL
ECOHLDS [s],Telecommunications Service Providers,59.KL
ETH [s],Consumer Services,3021.KL
CLOUD [s],Digital Services,3001.KL
PBSB,Consumer Services,5231.KL
SNTORIA,Property,5213.KL
BHIC [s],Transportation Equipment,8133.KL
REACH,Oil & Gas Producers,5256.KL
HANDAL [s],"Energy, Infrastructure, Equipment & Services",7253.KL
OMESTI [s],Digital Services,9008.KL
DIGISTA,Digital Services,29.KL
DGB,Software,152.KL
MCOM,Digital Services,3022.KL
TXCD [s],Construction,7145.KL
,,
,,
Annou,,
