Name,Category,ticker
RCECAP [s],Other Financials,9296.KL
TOPMIX [s],Building Materials,302.KL
FFB [s],Food & Beverages,5306.KL
KOTRA [s],Pharmaceuticals,2.KL
KIALIM [s],Building Materials,6211.KL
SERSOL [s],Chemicals,55.KL
MASTER [s],Packaging Materials,7029.KL
FAJAR [s],Construction,7047.KL
MFCB [s],Electricity,3069.KL
MIKROMB [s],Technology Equipment,112.KL
L&PBHD [s],Industrial Services,268.KL
SCIENTX [s],Packaging Materials,4731.KL
PANDA [s],Software,290.KL
HAWK [s],"Energy, Infrastructure, Equipment & Services",320.KL
MTEC [s],"Industrial Materials, Components & Equipment",295.KL
ASTRO,Media,6399.KL
SKBSHUT [s],Building Materials,7115.KL
EG [s],"Industrial Materials, Components & Equipment",8907.KL
AGMO [s],Software,258.KL
PETGAS [s],"Gas, Water & Multi-Utilities",6033.KL
AURORA [s],Personal Goods,3037.KL
POHKONG [s],Retailers,5080.KL
AEONCR,Other Financials,5139.KL
JETSON [s],Auto Parts,9083.KL
UUE [s],Construction,310.KL
UTAMA [s],Building Materials,3043.KL
ALLIANZ,Insurance,1163.KL
MPSOL [s],Consumer Services,3019.KL
FAREAST [s],Plantation,5029.KL
LGMS [s],Digital Services,249.KL
PA [s],Metals,7225.KL
SNS [s],Technology Equipment,259.KL
DFX,Digital Services,131.KL
KERJAYA [s],Construction,7161.KL
FPHB [s],Consumer Services,304.KL
DAY3 [s],Consumer Services,281.KL
RGB,"Travel, Leisure & Hospitality",37.KL
FPI [s],Houshold Goods,9172.KL
IOICORP [s],Plantation,1961.KL
RGS [s],Industrial Services,3052.KL
CIHLDG [s],Food & Beverages,2828.KL
PBBANK,Banking,1295.KL
INGENIEU [s],Metals,5178.KL
YTL,"Gas, Water & Multi-Utilities",4677.KL
ELRIDGE [s],Industrial Services,318.KL
PPHB [s],Packaging Materials,8273.KL
DKSH [s],Consumer Services,5908.KL
KPJ [s],Health Care Providers,5878.KL
NATGATE [s],"Industrial Materials, Components & Equipment",270.KL
PEKAT [s],Industrial Services,233.KL
GCB [s],Food & Beverages,5102.KL
TOMEI [s],Retailers,7230.KL
SAMAIDEN [s],Industrial Services,223.KL
KUCINGKO,Media,315.KL
UMC [s],Health Care Equipment & Services,256.KL
RAMSSOL [s],Software,236.KL
CCIB,Consumer Services,3053.KL
SANCY [s],Software,3057.KL
UCREST [s],Technology Equipment,5.KL
PWF [s],Agricultural Products,7134.KL
WMG,Property,6378.KL
CHINHIN [s],Building Materials,5273.KL
AWC [s],Industrial Services,7579.KL
SLVEST [s],Industrial Services,215.KL
MCLEAN [s],Industrial Services,167.KL
GDB [s],Construction,198.KL
SKPRES [s],"Industrial Materials, Components & Equipment",7155.KL
SPRITZER [s],Food & Beverages,7103.KL
GENETEC [s],Technology Equipment,104.KL
CIMB,Banking,1023.KL
KLCI1XI,",",0835EA.KL
UNIQUE [s],Industrial Services,257.KL
ANCOMNY [s],Chemicals,4758.KL
MATRIX [s],Property,5236.KL
SOP [s],Plantation,5126.KL
HARBOUR,Transportation & Logistics Services,2062.KL
JCBNEXT,Industrial Services,58.KL
CAB [s],Agricultural Products,7174.KL
